id;equipo
1;Mighty Morphin Power Rangers
2;Mighty Morphin Alien Rangers
3;Power Rangers Zeo
4;Power Rangers Turbo
5;Power Rangers in Space
6;Power Rangers Lost Galaxy
7;Power Rangers Lightspeed Rescue
8;Power Rangers Time Force
9;Power Rangers Wild Force
10;Power Rangers Ninja Storm
11;Power Rangers Dino Thunder
12;Power Rangers S.P.D.
13;Power Rangers Mystic Force
14;Power Rangers Operation Overdrive
15;Power Rangers Jungle Fury
16;Power Rangers RPM
17;Power Rangers Samurai
18;Power Rangers Super Samurai
19;Power Rangers Megaforce
20;Power Rangers Super Megaforce
21;Power Rangers Dino Charge
22;Power Rangers Dino Super Charge
23;Power Rangers Ninja Steel
24;Power Rangers Super Ninja Steel
25;Power Rangers Beast Morphers
26;Power Rangers Dino Fury
27;Power Rangers Cosmic Fury

